City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
267,Salinas,US,36.6777,-121.6555,70.02,50,90,3.44,overcast clouds
268,Andenes,NO,69.3143,16.1194,31.06,80,75,32.21,light shower snow
269,Harlingen,US,26.1906,-97.6961,92.34,54,2,10.07,clear sky
270,Butterworth,MY,5.3991,100.3638,77.05,95,40,0.0,scattered clouds
271,Kangaatsiaq,GL,68.3065,-53.4641,32.43,75,100,12.17,overcast clouds
272,Namatanai,PG,-3.6667,152.4333,79.83,81,99,3.49,light rain
273,Longyearbyen,SJ,78.2186,15.6401,12.04,67,0,12.66,clear sky
274,Aklavik,CA,68.2191,-135.0107,23.72,81,100,9.01,overcast clouds
275,Ilembo,TZ,-9.25,33.3833,59.83,64,90,8.01,overcast clouds
276,Lavrentiya,RU,65.5833,-171.0,28.94,95,98,6.22,overcast clouds
277,Shelburne,CA,44.0787,-80.2041,63.82,70,50,14.09,scattered clouds
278,Acheng,CN,45.5454,126.977,22.93,62,9,1.3,clear sky
279,Lavumisa,SZ,-27.31,31.892,69.12,72,0,3.31,clear sky
280,Buala,SB,-8.145,159.5921,80.65,80,97,3.42,light rain
281,Korcula,HR,42.9622,17.1369,57.76,69,9,11.01,clear sky
282,Ilulissat,GL,69.2167,-51.1,26.89,81,100,3.62,overcast clouds
283,Pryazha,RU,61.6926,33.6216,33.03,93,100,12.33,snow
284,Moron,AR,-34.6534,-58.6198,80.06,48,17,4.0,few clouds
285,Haines Junction,CA,60.7522,-137.5108,28.35,93,63,0.0,broken clouds
286,Orlik,RU,52.5178,99.825,25.97,67,7,3.51,clear sky
287,Rio Grande,BR,-32.035,-52.0986,68.11,62,23,13.35,few clouds
288,Goderich,CA,43.7501,-81.7165,67.03,77,89,8.05,overcast clouds
289,Nushki,PK,29.5542,66.0215,71.19,16,0,5.37,clear sky
290,Banamba,ML,13.55,-7.45,80.82,60,86,5.75,overcast clouds
291,Tuatapere,NZ,-46.1333,167.6833,46.92,69,98,0.34,overcast clouds
292,Santa Lucia,ES,27.9117,-15.5407,65.77,80,20,19.57,few clouds
293,Turbat,PK,26.0023,63.044,77.43,74,1,7.02,clear sky
294,Pochutla,MX,15.7432,-96.4661,85.82,72,86,6.17,overcast clouds
295,Altay,CN,47.8667,88.1167,41.47,38,0,10.4,clear sky
296,Ketchikan,US,55.3422,-131.6461,48.67,87,90,6.91,light rain
297,Querendaro,MX,19.8667,-100.9167,74.1,39,39,2.37,scattered clouds
298,Mokhsogollokh,RU,61.4681,128.9203,30.56,90,100,7.72,overcast clouds
299,Mishelevka,RU,52.8575,103.1719,31.71,83,2,5.23,clear sky
300,Chara,RU,56.9064,118.2631,26.38,77,56,3.53,broken clouds
301,Saint-Francois,FR,46.4154,3.9054,65.64,67,100,17.27,overcast clouds
302,Ahipara,NZ,-35.1667,173.1667,60.15,92,100,11.99,moderate rain
303,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,83,40,3.15,scattered clouds
304,Alta Floresta,BR,-9.8756,-56.0861,93.02,52,40,4.61,scattered clouds
305,Port Elizabeth,ZA,-33.918,25.5701,64.69,88,40,12.66,scattered clouds
306,Lambarene,GA,-0.7001,10.2406,74.34,96,100,2.71,light rain
307,Sarahan,IN,31.5167,77.8,53.17,49,0,5.84,clear sky
308,Manzhouli,CN,49.6,117.4333,25.66,85,12,5.7,few clouds
309,Saint-Denis,FR,48.9167,2.3333,65.17,79,90,5.01,overcast clouds
310,Labytnangi,RU,66.6572,66.4183,23.49,93,37,2.48,scattered clouds
311,Puerto Carreno,CO,6.189,-67.4859,91.08,50,100,4.25,overcast clouds
312,Palmer,US,42.1584,-72.3287,75.31,48,75,1.01,broken clouds
313,Luwuk,ID,-0.9516,122.7875,77.32,77,67,2.64,broken clouds
314,Touros,BR,-5.1989,-35.4608,85.1,77,100,12.97,overcast clouds
315,Faya,SA,18.3851,42.4509,64.51,28,2,7.61,clear sky
316,Xixiang,CN,35.1628,112.865,49.26,84,0,6.64,light rain
317,Sayyan,YE,15.1718,44.3244,60.03,33,100,8.16,overcast clouds
318,Diu,IN,20.7141,70.9822,75.72,74,70,8.46,broken clouds
319,Miranda,CO,3.2499,-76.2281,81.64,68,84,1.63,broken clouds
320,Brae,GB,60.3964,-1.353,42.71,71,100,26.49,overcast clouds
321,Pouembout,NC,-21.1333,164.9,68.16,96,100,4.12,light rain
322,Muhos,FI,64.808,25.9931,33.89,99,100,8.95,light snow
323,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,73,0,8.95,clear sky
324,Kyrylivka,UA,46.3759,35.3675,53.13,66,18,15.64,few clouds
325,Buluang,PH,13.3068,123.3425,75.47,92,41,2.55,scattered clouds
326,San Patricio,US,28.017,-97.5169,90.01,50,32,5.75,scattered clouds
327,Logon,PH,11.3303,124.1146,81.45,80,69,8.28,broken clouds
328,Dingle,PH,10.9995,122.6711,75.87,93,56,4.68,broken clouds
329,Uray,RU,60.1247,64.7758,32.81,78,100,5.39,overcast clouds
330,Inuvik,CA,68.3499,-133.7218,23.76,90,75,5.75,broken clouds
331,Grand Gaube,MU,-20.0064,57.6608,75.6,70,29,5.99,light rain
332,Ahuimanu,US,21.4447,-157.8378,80.46,59,1,9.22,clear sky
333,Kuloy,RU,61.0305,42.4925,31.86,76,100,13.15,overcast clouds
334,Neya,RU,58.2972,43.8681,32.07,79,100,10.98,overcast clouds
335,Cairns,AU,-16.9167,145.7667,80.55,86,75,3.44,broken clouds
336,Lanzhou,CN,36.0564,103.7922,38.48,63,9,1.99,clear sky
337,Husavik,IS,66.0449,-17.3389,22.91,80,63,12.24,broken clouds
338,Thompson,CA,55.7435,-97.8558,41.16,42,20,12.66,few clouds
339,Masaurhi,IN,25.3509,85.0342,73.99,87,20,7.49,few clouds
340,Pisco,PE,-13.7,-76.2167,69.85,64,0,12.66,clear sky
341,Damietta,EG,31.4165,31.8133,73.29,60,1,8.61,clear sky
